article_id,title,category,sentiment_label,general_sentiment,manual_sentiment,manual_category
N000002,"""Điều duy nhất bất biến ở Techcombank là sự thay đổi""",other,neutral,0.0,,
N000003,BAF muốn huy động 600 tỷ đồng trái phiếu,debt_bond,neutral,0.0,,
N000009,ABB: Quyết định Hội đồng quản trị,leadership,neutral,0.0,,
N000011,ACB: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Nguyễn Thiện,ma_ownership,neutral,0.0,,
N000012,BID: HĐQT phê duyệt phương án và hợp cho thuê một phần diện tích trụ sở tạm thời chưa sử dụng tại tòa nhà 24 Lê Thánh Tôn,project_contract,neutral,0.0,,
N000013,BID: HĐQT thông qua thỏa thuận cho vay hợp vốn cấp tín dụng giữa BIDV Đồng Nai và BIDC Hà Nội,debt_bond,neutral,0.0,,
N000016,ELC: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Nguyễn Thị Minh Hạnh,ma_ownership,neutral,0.0,,
N000017,FCN: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Phạm Việt Khoa,ma_ownership,neutral,0.0,,
N000019,GVR: Nghị quyết HĐQT về việc thông qua hồ sơ liên quan công tác nhân sự ĐHĐCĐ bất thường năm 2021,leadership,neutral,0.0,,
N000020,GVR: Thông báo điều chỉnh kế hoạch SXKD năm 2021 của công ty mẹ,earnings,neutral,0.0,,
N000021,"GVR: Tờ Trình thông qua số lượng, danh sách ứng cử viên HĐQT, BKS nhiệm kỳ 2021-2026",leadership,neutral,0.0,,
N000022,JVC: Nghị quyết HĐQT về việc thông qua chủ trương thực hiện các Hợp đồng/Giao dịch với bên liên quan dự kiến phát sinh trong năm 2022,project_contract,neutral,0.0,,
N000023,JVC: Quyết định vê việc bổ nhiệm chức vụ Phó Tổng Giám đốc Công ty,leadership,neutral,0.0,,
N000024,JVC: Quyết định về việc bổ nhiệm Phó TGĐ,leadership,neutral,0.0,,
N000025,KDH: Nghị quyết HĐQT về việc điều chuyển tiền giữa Khang Điền với các công ty con và giữa công ty con với nhau năm 2022,other,neutral,0.0,,
N000026,NLG: Thông báo giao dịch cổ phiếu của người có liên quan đến người nội bộ Lâm Ngọc Minh,ma_ownership,neutral,0.0,,
N000027,NLG: Thông báo giao dịch cổ phiếu của người có liên quan đến người nội bộ Trần Trương Đoan Thục,ma_ownership,neutral,0.0,,
N000028,NLG: Thông báo giao dịch cổ phiếu của người nội bộ Phạm Đình Huy,ma_ownership,neutral,0.0,,
N000030,PGV: BCTC Hợp nhất Kiểm toán năm 2019,earnings,neutral,0.0,,
N000031,PGV: BCTC Hợp nhất Kiểm toán năm 2020,earnings,neutral,0.0,,
N000032,PGV: BCTC Hợp nhất quý 2 năm 2021,earnings,neutral,0.0,,
N000033,PGV: BCTC Hợp nhất quý 3 năm 2021,earnings,neutral,0.0,,
N000034,PGV: BCTC Kiểm toán năm 2019,earnings,neutral,0.0,,
N000035,PGV: BCTC Kiểm toán năm 2020,earnings,neutral,0.0,,
N000036,PGV: BCTC Năm 2020,earnings,neutral,0.0,,
N000037,PGV: BCTC Quý 02.2021,earnings,neutral,0.0,,
N000038,PGV: BCTC Quý 03.2021,earnings,neutral,0.0,,
N000039,PGV: BCTC năm 2021,earnings,neutral,0.0,,
N000040,PGV: BCTC quý 2 năm 2021,earnings,neutral,0.0,,
N000041,PGV: BCTC quý 3 năm 2021,earnings,neutral,0.0,,
N000042,PGV: Bản cáo bạch niêm yết và các tài liệu,other,neutral,0.0,,
N000046,SCR: Quyết định của HĐQT về việc bổ nhiệm Phó TGĐ,leadership,neutral,0.0,,
N000051,SZC: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Vương Quỳnh Như,ma_ownership,neutral,0.0,,
N000053,VIX: Báo cáo về ngày không còn là cổ đông lớn của VHL,ma_ownership,neutral,0.0,,
N000054,VIX: Báo cáo về ngày không còn là cổ đông lớn của VIT,ma_ownership,neutral,0.0,,
N000056,NHH: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ AAA,ma_ownership,neutral,0.0,,
N000058,ANV: Thông báo giao dịch cổ phiếu của người có liên quan đến Người nội bộ Nguyễn Thị Minh Thành và Doãn Quốc Hội,ma_ownership,neutral,0.0,,
N000059,NHH: Báo cáo về thay đổi sở hữu cổ đông lớn APH,ma_ownership,neutral,0.0,,
N000060,BCM: Nghị quyết HĐQT về kết quả kinh doanh năm 2021 và kế hoạch kinh doanh năm 2022,earnings,neutral,0.0,,
N000061,BMP: Thông báo ngày ĐKCC tạm ứng cổ tức đợt 1 năm 2021 bằng tiền,dividend,neutral,0.0,,
N000062,CMG: Nghị quyết HĐQT về việc triển khai thực hiện phương án phát hành cổ phiếu để trả cổ tức năm 2020,capital_issuance,neutral,0.0,,
N000064,DXG: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài có liên quan là cổ đông lớn,ma_ownership,neutral,0.0,,
N000065,ELC: Thông báo mời họp và đường dẫn tài liệu ĐHĐCĐ bất thường năm 2022,other,neutral,0.0,,
N000067,Phân tích kỹ thuật phiên chiều 05/01: Tiếp tục hướng đến mức cao mới,other,neutral,0.0,,
N000069,"TP.HCM, Hà Nội, Đà Nẵng đề nghị Chính phủ phân quyền hơn nữa",other,neutral,0.0,,
N000070,HDB: Thông báo về việc thay đổi địa điểm Phòng Giao dịch Đông Đô,other,neutral,0.0,,
N000071,Phân tích kỹ thuật phiên chiều 05/01: Tiếp tục hướng đến mức cao mới,other,neutral,0.0,,
N000072,JVC: Báo cáo về ngày không còn là cổ đông lớn Nguyễn Việt Cường,ma_ownership,neutral,0.0,,
N000073,MSB: Nghị quyết HĐQT về việc cấp tín dụng cho Kế toán trưởng và người liên quan của Kế toán trưởng,leadership,neutral,0.0,,
N000074,OCB: Nghị quyết HĐQT về việc thay đổi địa điểm trụ sở Phòng giao dịch Bình Tân,leadership,neutral,0.0,,
N000075,PDR: Thông báo ngày ĐKCC lấy ý kiến cổ đông bằng văn bản,other,neutral,0.0,,
N000076,SHB: Nghị quyết HĐQT về việc cấp hạn mức tín dụng cho khách hàng doanh nghiệp,leadership,neutral,0.0,,
N000077,SHB: Thông báo công văn của UBCKNN về báo cáo kết quả chào bán thêm cổ phiếu ra công chúng của SHB,capital_issuance,neutral,0.0,,
N000078,SSB: Quyết định của HĐQT về việc thời gian thực hiện quyền mua cổ phiếu phát hành thêm,capital_issuance,neutral,0.0,,
N000079,SSB: Thông báo chào bán cổ phiếu ra công chúng,capital_issuance,neutral,0.0,,
N000080,SSI dẫn đầu 27 hạng mục tại giải Asiamoney Brokers Poll 2021,other,neutral,0.0,,
N000081,TCB: Quyết định của HĐQT về việc thay đổi địa chỉ phòng giao dịch Hưng Đạo Vương,leadership,neutral,0.0,,
N000082,TCB: Quyết định của HĐQT về việc thay đổi địa điểm và chi nhánh quản lý Phòng giao dịch Minh Phụng,leadership,neutral,0.0,,
N000083,TPB: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Phạm Đông Anh,other,neutral,0.0,,
N000084,VCB: Quyết định của HĐQT về việc miễn nhiệm và bổ nhiệm Người phụ trách quản trị ngân hàng,leadership,neutral,0.0,,
N000085,VCB: Thông báo thay đổi người phụ trách quản trị ngân hàng,other,neutral,0.0,,
N000086,VIC: Nghị quyết HĐQT về việc phê duyệt phương án phát hành cổ phiếu phổ thông để chuyển đổi cổ phiếu ưu đãi,capital_issuance,neutral,0.0,,
N000087,VSC: Thông báo Quyết định của UBCKNN về việc chấp thuận gia hạn giấy chứng nhận đăng ký chào bán thêm cổ phiếu ra công chúng cho VSC,capital_issuance,neutral,0.0,,
N000088,BAF: Báo cáo về ngày trở thành cổ đông lớn CTCP Siba Holdings,ma_ownership,neutral,0.0,,
N000090,BMP - Chờ giá điều chỉnh,other,neutral,0.0,,
N000091,C4G: Giấy chứng nhận đăng ký chào bán thêm cổ phiếu ra công chúng,capital_issuance,neutral,0.0,,
N000092,CRE: Nghị quyết HĐQT về việc thông qua các giao dịch với bên có liên quan trong năm 2022,leadership,neutral,0.0,,
N000094,DBC: Nghị quyết HĐQT số 01 ngày 05/01/2022,leadership,neutral,0.0,,
N000095,Nhóm quỹ thành viên Dragon Capital mua vào gần 1.4 triệu cp DXG,other,neutral,0.0,,
N000096,EIB: Nghị quyết HĐQT về việc thông qua địa điểm tổ chức họp ĐHĐCĐTN năm 2021 lần 2,leadership,neutral,0.0,,
N000097,FCN: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Hà Thị Tâm,other,neutral,0.0,,
N000098,FCN: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Trần Công Tráng,other,neutral,0.0,,
N000099,FCN: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Trần Trọng Thắng,other,neutral,0.0,,
N000100,FCN: Thông báo giao dịch cổ phiếu của người nội bộ Trần Công Tráng,other,neutral,0.0,,
N000101,FTS: Thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết đang lưu hành,other,neutral,0.0,,
N000102,HAH: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2022,other,neutral,0.0,,
N000103,OCB: Thông báo công văn của NHNN về việc chấp thuận thay đổi tên và địa điểm đặt trụ sở OCB chi nhánh Hoàng Mai,other,neutral,0.0,,
N000104,PAN: Nghị quyết HĐQT về phương án đầu tư cổ phiếu BBC thông qua hoán đổi cổ phần CTCP Phân phối hàng tiêu dùng PAN,leadership,neutral,0.0,,
N000105,QNS: Nghị quyết Hội đồng quản trị,leadership,neutral,0.0,,
N000106,SSB: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Lê Tuấn Anh,other,neutral,0.0,,
N000107,SSB: Thông báo giao dịch cổ phiếu của người có liên quan đến Người nội bộ Lê Tuấn Anh,other,neutral,0.0,,
N000108,SSB: Thông báo giao dịch cổ phiếu của người nội bộ Nguyễn Tuấn Cường,other,neutral,0.0,,
N000109,TCB: Quyết định của HĐQT về việc thay đổi mẫu con dấu phòng giao dịch Từ Sơn,leadership,neutral,0.0,,
N000110,TCB: Quyết định của HĐQT về việc thay đổi địa chỉ chi nhánh Thanh Hóa,leadership,neutral,0.0,,
N000111,TCB: Quyết định của HĐQT về việc thay đổi địa chỉ phòng giao dịch Trường Sơn,leadership,neutral,0.0,,
N000112,TPB: Quyết định thay đổi đăng ký niêm yết,other,neutral,0.0,,
N000113,TPB: Thông báo về việc niêm yết và giao dịch chứng khoán thay đổi niêm yết,other,neutral,0.0,,
N000114,NBB: Thông báo hợp tác với Công ty CII và vay vốn đầu tư dự án Delagi tại VCB,project_contract,neutral,0.0,,
N000115,VCB: Báo cáo kết quả đợt phát hành cổ phiếu để trả cổ tức,capital_issuance,neutral,0.0,,
N000116,VCB: Thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết đang lưu hành,other,neutral,0.0,,
N000117,Phân tích kỹ thuật phiên chiều 06/01: VN-Index test lại ngưỡng Fibonacci Projection 61.8%,market_industry,neutral,0.0,,
N000118,"VinFast công bố dừng sản xuất xe xăng, chuyển hẳn sang xe thuần điện từ cuối năm 2022",other,neutral,0.0,,
N000119,LynkiD chính thức trở thành đối tác loyalty độc quyền của VPBank,other,neutral,0.0,,
N000120,Thị trường chứng quyền 07/01/2022: Chứng quyền VRE tiếp tục bứt phá?,other,neutral,0.0,,
N000121,AAA: Nghị quyết HĐQT về việc nhận chuyển nhượng cổ phiếu NHH từ APH,ma_ownership,neutral,0.0,,
N000123,APH: Nghị quyết HĐQT về việc thông qua các giao dịch với các bên liên quan phát sinh trong năm 2022,leadership,neutral,0.0,,
N000124,Siba Holdings trở thành cổ đông lớn của BAF,ma_ownership,neutral,0.0,,
N000125,BID: Quyết định thay đổi địa điểm trụ sở Chi nhánh Ba Mươi Tháng Tư,other,neutral,0.0,,
N000128,C4G: Nghị quyết Hội đồng quản trị,leadership,neutral,0.0,,
N000129,C4G: Thông báo chào bán cổ phiếu ra công chúng,capital_issuance,neutral,0.0,,
N000130,Agribank sẽ chuyển nhượng gần 3.8 triệu cp CMG,ma_ownership,neutral,0.0,,
N000131,CMG: Thông báo về việc Agribank tiếp tục chuyển nhượng vốn tại CMG,ma_ownership,neutral,0.0,,
N000132,CRE: Nghị quyết HĐQT về việc miễn nhiệm chức danh Phó TGĐ,leadership,neutral,0.0,,
N000133,Phân tích kỹ thuật phiên chiều 07/01: VN-Index đi ngang ở vùng giá lịch sử,market_industry,neutral,0.0,,
N000134,EIB: Công văn của NHNN Việt Nam về việc chấp thuận thay đổi địa điểm Chi nhánh Ba Đình,other,neutral,0.0,,
N000135,ELC: Nghị quyết HĐQT về việc thưởng cổ phiếu quỹ cho người lao động,leadership,neutral,0.0,,
N000136,FMC: Báo cáo về thay đổi sở hữu cổ đông lớn CTCP Chăn nuôi C.P Việt Nam,ma_ownership,neutral,0.0,,
N000137,GEX: Nghị quyết HĐQT về việc miễn nhiệm và bổ nhiệm chức vụ Kế toán trưởng,leadership,neutral,0.0,,
N000138,HDB: Báo cáo kết quả phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,capital_issuance,neutral,0.0,,
N000139,HDB: Thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết đang lưu hành,other,neutral,0.0,,
N000140,JVC: Quyết định bổ nhiệm chức vụ Giám đốc Tài chính,leadership,neutral,0.0,,
N000141,LCG: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 22,other,neutral,0.0,,
N000143,MSN: Nghị quyết và Biên bản kiểm phiếu lấy ý kiến cổ đông bằng văn bản,other,neutral,0.0,,
N000144,Sức mạnh hiệp lực từ hệ sinh thái Tiêu dùng - Công nghệ của Masan,other,neutral,0.0,,
N000145,MWG: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài có liên quan là cổ đông lớn,ma_ownership,neutral,0.0,,
N000146,NLG: Thông báo giao dịch cổ phiếu của người có liên quan đến người nội bộ Nguyễn Tiến Dũng,other,neutral,0.0,,
N000147,NLG: Thông báo giao dịch cổ phiếu của người nội bộ Nguyễn Xuân Quang,other,neutral,0.0,,
N000148,NLG: Thông báo về việc nhận cổ tức năm 2014 đến đợt 1 năm 2021 bằng tiền mặt đối với các cổ đông chưa lưu ký,dividend,neutral,0.0,,
N000149,PVS: Thông báo chữ ký thành viên HDQT,other,neutral,0.0,,
N000150,SSI: Thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết đang lưu hành,other,neutral,0.0,,
N000151,"""Khai xuân phú quý - Lì xì hết ý"" khi gửi tiết kiệm tại Sacombank",earnings,neutral,0.0,,
N000152,VHC: Thông báo giao dịch cổ phiếu của người nội bộ Nguyễn Thị Kim Đào,other,neutral,0.0,,
N000153,VHM: Nghị quyết HĐQT về việc thông qua giao dịch với bên liên quan trong năm 2022,leadership,neutral,0.0,,
N000154,VIB: Thông báo giao dịch cổ phiếu của người nội bộ Lê Quang Trung,other,neutral,0.0,,
