case_type,model,split,article_id,event_trading_date,ticker,category,sentiment_label,general_sentiment,y_true,y_pred,absolute_error,title
lowest_error,Linear Regression,test,N048812,2025-08-04,VPB,other,positive,1.0,-0.0672932565212249,-0.06713867,0.00015458652122490868,"FE Credit phục hồi, GPBank có lãi, VPBank tự tin hoàn thành kế hoạch 2025"
lowest_error,Linear Regression,test,N054327,2025-12-08,DHG,leadership,neutral,0.0,0.2322355508804321,0.23266602,0.0004304691195679,"DHG: Thông báo thay đổi nhân sự, cán bộ chủ chốt quản trị Công ty"
lowest_error,Linear Regression,test,N053595,2025-11-24,CSV,other,neutral,0.0,-0.2817071378231048,-0.28100586,0.0007012778231048067,CSV: Th&#244;ng b&#225;o về việc chấm dứt hoạt động chi nh&#225;nh - Mỏ B&#244; x&#237;t Bảo Lộc
lowest_error,Linear Regression,test,N052458,2025-10-29,APH,earnings,neutral,-0.5,0.009719762019813,0.010498047,0.0007782849801869999,APH: Giải trình biến động LNST trên BCTC quý 3/2025 so với cùng kỳ năm trước
lowest_error,Linear Regression,test,N048552,2025-07-31,FRT,legal_regulatory,negative,-1.0,-0.1578680574893951,-0.15698242,0.0008856374893951025,FRT: Nhắc nhở chậm CBTT QĐ xử phạt vi phạm pháp luật về thuế
lowest_error,Linear Regression,test,N053677,2025-11-25,MBB,debt_bond,neutral,0.0,-0.2214069068431854,-0.22045898,0.0009479268431853982,MB ký kết thành công hợp đồng khoản vay hợp vốn xanh trên thị trường quốc tế trị giá 500 triệu USD
lowest_error,Linear Regression,test,N052941,2025-11-05,BID,leadership,neutral,0.0,-0.3263558149337768,-0.3251953,0.0011605149337767795,BID: Quyết định và Thông báo về việc nghỉ hưu để hưởng chế độ bảo hiểm xã hội của thành viên Ban điều hành
lowest_error,Linear Regression,test,N055029,2025-12-23,VPB,debt_bond,neutral,0.0,-0.3061278462409973,-0.30737305,0.0012452037590026666,CBTT về việc đăng ký giao dịch trái phiếu VPB12515 của NH TMCP VIỆT NAM THỊNH VƯỢNG
lowest_error,Linear Regression,test,N049739,2025-08-25,ACV,project_contract,neutral,0.0,0.0995202139019966,0.10180664,0.002286426098003405,ACV đề nghị sớm đầu tư xây dựng sân bay Long Thành giai đoạn 2
lowest_error,Linear Regression,test,N050327,2025-09-03,KBC,leadership,neutral,0.0,-0.1695569306612014,-0.171875,0.002318069338798606,KBC: Nghị quyết HĐQT về việc góp vốn thành lập CTCP Phát triển Đô Thị Kinh Bắc - Đồng Tháp
lowest_error,Linear Regression,test,N053293,2025-11-14,MSB,market_industry,negative,-1.0,-0.3454331159591675,-0.34301758,0.002415535959167492,"Tỷ lệ CASA tiếp tục giảm, d&#242;ng tiền c&#243; đang dịch chuyển?"
